Sample ID,Sample Details,Test Name,Result,Units,Absorbance,Time,Manual Dil,Auto Dil
STANDARD 1,,bray-p 1, 0.0072,mgP/L,0.007155,Thu Jun 08 11:27:51 2023,1,1
STANDARD 90,,bray-p 1, 0.0129,mgP/L,0.012887,Thu Jun 08 11:29:07 2023,1,1
STANDARD 91,,bray-p 1, 0.0217,mgP/L,0.021710,Thu Jun 08 11:30:24 2023,1,1
STANDARD 92,,bray-p 1, 0.0358,mgP/L,0.035836,Thu Jun 08 11:31:41 2023,1,1
STANDARD 93,,bray-p 1, 0.0812,mgP/L,0.081210,Thu Jun 08 11:32:58 2023,1,1
STANDARD 94,,bray-p 1, 0.1549,mgP/L,0.154868,Thu Jun 08 11:34:15 2023,1,1
STANDARD 95,,bray-p 1, 0.2215,mgP/L,0.221511,Thu Jun 08 11:35:33 2023,1,1
STANDARD 96,,bray-p 1, 0.2947,mgP/L,0.294651,Thu Jun 08 11:36:50 2023,1,1
STANDARD 0,,bray-p 1, 0.0074,mgP/L,0.007361,Thu Jun 08 11:38:07 2023,1,1
C C V,,bray-p 1, 0.5544,mgP/L,0.167137,Thu Jun 08 11:39:25 2023,1,1
C C B ,,bray-p 1,-0.0024,mgP/L,0.007119,Thu Jun 08 11:40:45 2023,1,1
7 1b,,bray-p 1, 0.1115,mgP/L,0.039850,Thu Jun 08 11:42:04 2023,1,1
25 1b,,bray-p 1, 0.1990,mgP/L,0.065009,Thu Jun 08 11:43:22 2023,1,1
11 1b,,bray-p 1, 0.1261,mgP/L,0.044035,Thu Jun 08 11:44:40 2023,1,1
30 2b,,bray-p 1, 0.1265,mgP/L,0.044175,Thu Jun 08 11:45:57 2023,1,1
60 2a,,bray-p 1, 0.2694,mgP/L,0.085244,Thu Jun 08 11:47:15 2023,1,1
39 2b,,bray-p 1, 0.1915,mgP/L,0.062846,Thu Jun 08 11:48:33 2023,1,1
10 1b,,bray-p 1, 0.1824,mgP/L,0.060220,Thu Jun 08 11:49:51 2023,1,1
34 2b,,bray-p 1, 0.0153,mgP/L,0.012215,Thu Jun 08 11:51:09 2023,1,1
49 2a,,bray-p 1, 0.1279,mgP/L,0.044570,Thu Jun 08 11:52:26 2023,1,1
31 2b,,bray-p 1, 0.2207,mgP/L,0.071240,Thu Jun 08 11:53:44 2023,1,1
C C V,,bray-p 1, 0.5468,mgP/L,0.164961,Thu Jun 08 11:55:02 2023,1,1
C C B ,,bray-p 1,-0.0026,mgP/L,0.007059,Thu Jun 08 11:56:22 2023,1,1
27 1a,,bray-p 1, 0.1134,mgP/L,0.040392,Thu Jun 08 11:57:41 2023,1,1
34 2a,,bray-p 1, 0.0429,mgP/L,0.020127,Thu Jun 08 11:58:59 2023,1,1
60 1b,,bray-p 1, 0.1949,mgP/L,0.063810,Thu Jun 08 12:00:17 2023,1,1
10 2a,,bray-p 1, 0.1634,mgP/L,0.054767,Thu Jun 08 12:01:35 2023,1,1
45 2a,,bray-p 1, 0.1740,mgP/L,0.057804,Thu Jun 08 12:02:52 2023,1,1
45 2b,,bray-p 1, 0.1670,mgP/L,0.055790,Thu Jun 08 12:04:09 2023,1,1
60 2a,,bray-p 1, 0.0636,mgP/L,0.026095,Thu Jun 08 12:05:26 2023,1,1
56 2a,,bray-p 1, 0.1309,mgP/L,0.045435,Thu Jun 08 12:06:43 2023,1,1
6 2b,,bray-p 1, 0.0972,mgP/L,0.035737,Thu Jun 08 12:08:00 2023,1,1
40 2b,,bray-p 1, 0.0985,mgP/L,0.036123,Thu Jun 08 12:09:17 2023,1,1
C C V,,bray-p 1, 0.5448,mgP/L,0.164390,Thu Jun 08 12:10:33 2023,1,1
C C B ,,bray-p 1,-0.0026,mgP/L,0.007068,Thu Jun 08 12:11:54 2023,1,1
1 2b,,bray-p 1, 0.0586,mgP/L,0.024637,Thu Jun 08 12:13:13 2023,1,1
4 2a,,bray-p 1, 0.1111,mgP/L,0.039744,Thu Jun 08 12:14:30 2023,1,1
58 2a,,bray-p 1, 0.0857,mgP/L,0.032431,Thu Jun 08 12:15:46 2023,1,1
56 1a,,bray-p 1, 0.1679,mgP/L,0.056066,Thu Jun 08 12:17:02 2023,1,1
56  2b,,bray-p 1, 0.1183,mgP/L,0.041809,Thu Jun 08 12:18:19 2023,1,1
29 1a,,bray-p 1, 0.0043,mgP/L,0.009053,Thu Jun 08 12:19:36 2023,1,1
56 1b,,bray-p 1, 0.1375,mgP/L,0.047324,Thu Jun 08 12:20:53 2023,1,1
8 2b,,bray-p 1, 0.1146,mgP/L,0.040733,Thu Jun 08 12:22:10 2023,1,1
58 2b,,bray-p 1, 0.0477,mgP/L,0.021502,Thu Jun 08 12:23:27 2023,1,1
6 2a,,bray-p 1, 0.0361,mgP/L,0.018180,Thu Jun 08 12:24:44 2023,1,1
C C V,,bray-p 1, 0.5514,mgP/L,0.166283,Thu Jun 08 12:26:01 2023,1,1
C C B ,,bray-p 1,-0.0025,mgP/L,0.007094,Thu Jun 08 12:27:22 2023,1,1
31 1a,,bray-p 1, 0.1283,mgP/L,0.044673,Thu Jun 08 12:28:41 2023,1,1
25 2a,,bray-p 1, 0.0820,mgP/L,0.031372,Thu Jun 08 12:29:58 2023,1,1
7 2a,,bray-p 1,-0.0097,mgP/L,0.005008,Thu Jun 08 12:31:15 2023,1,1
38 2b,,bray-p 1, 0.6521,mgP/L,0.195223,Thu Jun 08 12:32:32 2023,1,1
1 1b,,bray-p 1, 0.0123,mgP/L,0.011336,Thu Jun 08 12:33:49 2023,1,1
60 1a,,bray-p 1, 0.0138,mgP/L,0.011769,Thu Jun 08 12:35:06 2023,1,1
38 2a,,bray-p 1, 0.7034,mgP/L,0.209964,Thu Jun 08 12:36:24 2023,1,1
26 2a,,bray-p 1, 0.0206,mgP/L,0.013724,Thu Jun 08 12:37:41 2023,1,1
59 1b,,bray-p 1, 0.0246,mgP/L,0.014862,Thu Jun 08 12:38:58 2023,1,1
29 1b,,bray-p 1, 0.0361,mgP/L,0.018183,Thu Jun 08 12:40:16 2023,1,1
C C V,,bray-p 1, 0.5583,mgP/L,0.168254,Thu Jun 08 12:41:33 2023,1,1
C C B ,,bray-p 1,-0.0008,mgP/L,0.007568,Thu Jun 08 12:42:54 2023,1,1
6 1b,,bray-p 1, 0.0246,mgP/L,0.014887,Thu Jun 08 12:44:14 2023,1,1
26 2b,,bray-p 1, 0.0558,mgP/L,0.023833,Thu Jun 08 12:45:31 2023,1,1
7 2b,,bray-p 1,-0.0178,mgP/L,0.002699,Thu Jun 08 12:46:49 2023,1,1
6 1b,,bray-p 1,-0.0068,mgP/L,0.005835,Thu Jun 08 12:48:07 2023,1,1
1 1a,,bray-p 1, 0.1316,mgP/L,0.045621,Thu Jun 08 12:49:25 2023,1,1
60 1b,,bray-p 1, 0.0461,mgP/L,0.021067,Thu Jun 08 12:50:43 2023,1,1
3 2b,,bray-p 1, 0.1110,mgP/L,0.039696,Thu Jun 08 12:52:01 2023,1,1
59 1a,,bray-p 1,-0.0132,mgP/L,0.004005,Thu Jun 08 12:53:21 2023,1,1
28 2a,,bray-p 1, 0.0740,mgP/L,0.029070,Thu Jun 08 12:54:40 2023,1,1
28 2b,,bray-p 1, 0.0689,mgP/L,0.027593,Thu Jun 08 12:55:37 2023,1,1
C C V,,bray-p 1, 0.5483,mgP/L,0.165405,Thu Jun 08 12:56:38 2023,1,1
C C B ,,bray-p 1,-0.0013,mgP/L,0.007442,Thu Jun 08 12:57:32 2023,1,1
4 2b,,bray-p 1, 0.0980,mgP/L,0.035982,Thu Jun 08 12:58:26 2023,1,1
11 2b,,bray-p 1, 0.0384,mgP/L,0.018850,Thu Jun 08 12:59:19 2023,1,1
3 2a,,bray-p 1, 0.1143,mgP/L,0.040644,Thu Jun 08 13:00:12 2023,1,1
11 2a,,bray-p 1, 0.0188,mgP/L,0.013216,Thu Jun 08 13:01:06 2023,1,1
31 1b,,bray-p 1, 0.1400,mgP/L,0.048040,Thu Jun 08 13:01:59 2023,1,1
8 2a,,bray-p 1, 0.0974,mgP/L,0.035810,Thu Jun 08 13:02:52 2023,1,1
C C V,,bray-p 1, 0.5426,mgP/L,0.163767,Thu Jun 08 13:03:45 2023,1,1
C C B ,,bray-p 1,-0.0003,mgP/L,0.007714,Thu Jun 08 13:04:39 2023,1,1
